'	' 1.0
rb$	else's 1.0
rb+bez	here's 0.9090909090909091 there's 0.09090909090909091
rb+bez-hl	here's 1.0
rb+bez-nc	there's 1.0
rb+cs	soon's 0.3333333333333333 well's 0.6666666666666666
rb-hl	abroad 0.061224489795918366 actively 0.02040816326530612 again 0.061224489795918366 ahead 0.02040816326530612 along 0.02040816326530612 also 0.04081632653061224 approximately 0.10204081632653061 back 0.04081632653061224 e.g. 0.02040816326530612 electronically 0.02040816326530612 fast 0.04081632653061224 first 0.061224489795918366 fully 0.02040816326530612 generally 0.02040816326530612 gradually 0.02040816326530612 here 0.10204081632653061 long 0.02040816326530612 mostly 0.02040816326530612 near 0.02040816326530612 now 0.04081632653061224 quick 0.02040816326530612 regularly 0.02040816326530612 somewhere 0.02040816326530612 spiritually 0.02040816326530612 then 0.02040816326530612 there 0.061224489795918366 together 0.02040816326530612 too 0.02040816326530612 wild 0.02040816326530612
rb-nc	emotionally 0.07692307692307693 eventshah-leh 0.038461538461538464 here 0.23076923076923078 importunately 0.038461538461538464 no 0.11538461538461539 now 0.11538461538461539 out 0.038461538461538464 perhaps 0.038461538461538464 rarely 0.07692307692307693 then 0.11538461538461539 too 0.038461538461538464 yes 0.07692307692307693
rb-tl	again 0.05 also 0.025 anywhere 0.025 around 0.025 aside 0.025 away 0.075 back 0.05 backward 0.025 beyond 0.075 down 0.05 far 0.025 forever 0.05 here 0.025 o'clock 0.05 once 0.1 out 0.125 plus 0.075 really 0.025 somewhere 0.025 together 0.025 well 0.025 yes 0.025
rbr	better 0.1404399323181049 cheaper 0.0008460236886632825 closer 0.03637901861252115 deeper 0.00676818950930626 earlier 0.05922165820642978 easier 0.005076142131979695 farther 0.0194585448392555 faster 0.010998307952622674 further 0.08798646362098139 harder 0.011844331641285956 heavier 0.0008460236886632825 higher 0.011844331641285956 later 0.2893401015228426 less 0.016074450084602367 longer 0.10490693739424704 louder 0.0008460236886632825 lower 0.004230118443316413 more 0.1658206429780034 nearer 0.00676818950930626 oftener 0.0008460236886632825 quicker 0.0008460236886632825 slower 0.001692047377326565 sooner 0.014382402707275803 tighter 0.0008460236886632825 tougher 0.0008460236886632825 worse 0.0008460236886632825
rbr+cs	more'n 1.0
rbr-nc	more 1.0
rbt	best 0.504950495049505 brightest 0.019801980198019802 deepest 0.009900990099009901 farthest 0.009900990099009901 fastest 0.009900990099009901 hardest 0.019801980198019802 highest 0.039603960396039604 least 0.009900990099009901 loudest 0.009900990099009901 most 0.31683168316831684 nearest 0.0297029702970297 uppermost 0.019801980198019802
rn	afar 0.2222222222222222 here 0.4444444444444444 then 0.3333333333333333
rp	about 0.003328340822100183 across 0.00199700449326011 after 0.00016641704110500916 down 0.11565984356798135 in 0.07688467299051423 off 0.07971376268929939 on 0.09252787485438509 out 0.2710933599600599 over 0.06490264603095357 through 0.010151439507405558 up 0.2834082210018306 up-pp 0.00016641704110500916
rp+in	out'n 0.5 outta 0.5
rp-hl	down 0.07142857142857142 in 0.14285714285714285 off 0.21428571428571427 out 0.14285714285714285 over 0.14285714285714285 up 0.2857142857142857
rp-nc	in 0.4 out 0.4 up 0.2
rp-tl	on 0.25 up 0.75
to	t' 6.70331143584931e-05 to 0.9999329668856415
to+vb	t'jawn 0.5 t'lah 0.5
to-hl	to 1.0
to-nc	to 1.0
to-tl	to 1.0
uh	'ello 0.001644736842105263 'mon 0.001644736842105263 a-gracious 0.001644736842105263 aaa-ee 0.001644736842105263 aaawww 0.001644736842105263 aah 0.001644736842105263 ah 0.023026315789473683 ah-ah 0.001644736842105263 ahah 0.001644736842105263 ahem 0.001644736842105263 alas 0.01644736842105263 amen 0.019736842105263157 atta 0.003289473684210526 aw 0.003289473684210526 aye-yah-ah-ah 0.001644736842105263 ba-a-a 0.001644736842105263 bah 0.001644736842105263 bang 0.003289473684210526 bannnnnng 0.001644736842105263 be 0.001644736842105263 bong 0.009868421052631578 boom-boom-boom 0.001644736842105263 boy 0.003289473684210526 bravo 0.001644736842105263 bullshit 0.001644736842105263 buzz-buzz-buzz 0.001644736842105263 bye 0.001644736842105263 c'mon 0.004934210526315789 chrissake 0.001644736842105263 christ 0.003289473684210526 crap 0.001644736842105263 crunch 0.001644736842105263 da-da-da-dum 0.001644736842105263 dairy-oh 0.001644736842105263 dammit 0.011513157894736841 damn 0.004934210526315789 damnit 0.001644736842105263 dear 0.001644736842105263 diddle 0.001644736842105263 doggone 0.001644736842105263 eh 0.011513157894736841 gawdamighty 0.001644736842105263 gee 0.003289473684210526 glory 0.001644736842105263 god 0.003289473684210526 godamit 0.001644736842105263 goddamit 0.001644736842105263 goddammit 0.003289473684210526 goddamn 0.001644736842105263 golly 0.003289473684210526 good-by 0.003289473684210526 good-bye 0.009868421052631578 good-night 0.001644736842105263 goodbye 0.008223684210526315 goodnight 0.003289473684210526 goody 0.003289473684210526 goolick 0.001644736842105263 goooolick 0.001644736842105263 gosh 0.006578947368421052 ha 0.003289473684210526 hallelujah 0.001644736842105263 harro 0.001644736842105263 haw 0.001644736842105263 heigh-ho 0.001644736842105263 hell 0.023026315789473683 hello 0.014802631578947368 help 0.001644736842105263 henh 0.001644736842105263 hey 0.024671052631578948 hi 0.006578947368421052 hmm 0.001644736842105263 hmpf 0.001644736842105263 hoa-whup 0.001644736842105263 honest-to-betsy 0.001644736842105263 hoo-pig 0.001644736842105263 howdy 0.001644736842105263 hubba 0.003289473684210526 huh 0.008223684210526315 huh-uh 0.001644736842105263 hush 0.003289473684210526 indeed 0.004934210526315789 insomma 0.001644736842105263 it 0.001644736842105263 jee-sus 0.001644736842105263 jerusalem 0.001644736842105263 jesus 0.008223684210526315 jumping 0.001644736842105263 kaboom 0.001644736842105263 kee-reist 0.001644736842105263 keeeerist 0.001644736842105263 keerist 0.001644736842105263 krist 0.001644736842105263 lo 0.001644736842105263 m-m-m 0.001644736842105263 man 0.001644736842105263 mmm 0.003289473684210526 mmmm 0.001644736842105263 morning 0.001644736842105263 my 0.003289473684210526 o 0.01644736842105263 o.k. 0.011513157894736841 oh 0.19407894736842105 oh-the-pain-of-it 0.001644736842105263 ok. 0.001644736842105263 okay 0.024671052631578948 oooo 0.001644736842105263 oops 0.001644736842105263 pap-pap-pap-hey 0.001644736842105263 pip 0.003289473684210526 please 0.024671052631578948 presto 0.001644736842105263 pugh 0.003289473684210526 roger 0.001644736842105263 rum-tum-tum 0.001644736842105263 sake 0.001644736842105263 say 0.024671052631578948 see 0.001644736842105263 shh 0.001644736842105263 shucks 0.003289473684210526 sir 0.001644736842105263 so 0.001644736842105263 sonuvabitch 0.001644736842105263 sssshoo 0.001644736842105263 sure-sure 0.003289473684210526 tarantara 0.001644736842105263 toot 0.001644736842105263 toot-toot 0.001644736842105263 ugh 0.001644736842105263 uh 0.008223684210526315 uh-huh 0.008223684210526315 uh-uh 0.001644736842105263 uhhu 0.006578947368421052 um 0.003289473684210526 umm 0.001644736842105263 unnnt 0.001644736842105263 well 0.22697368421052633 whee 0.001644736842105263 whoa 0.001644736842105263 whoosh 0.001644736842105263 why 0.004934210526315789 wow 0.001644736842105263 yalagaloo 0.001644736842105263 yesiree 0.001644736842105263 yooee 0.001644736842105263 zingggg-o 0.001644736842105263 zoooop 0.001644736842105263 zounds 0.003289473684210526
uh-hl	goodby 1.0
uh-nc	farewell 0.2 fiddlesticks 0.2 hello 0.2 hurrah 0.4
uh-tl	creepers 0.06666666666666667 eh 0.06666666666666667 hi 0.13333333333333333 hooray 0.06666666666666667 hurrah 0.06666666666666667 hurray 0.06666666666666667 jeepers 0.06666666666666667 oh 0.06666666666666667 rockabye 0.06666666666666667 toot 0.13333333333333333 welcome 0.2
